"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"46.20 (44.96, 47.56)","47.35 (46.35, 48.43)","49.11 (48.05, 50.17)","53.58 (52.41, 54.81)","58.01 (56.75, 59.31)","59.04 (57.72, 60.44)","55.70 (54.34, 57.00)","55.89 (54.35, 57.36)","20.98 (16.87, 24.94)"
Alabama,1,"57.83 (56.10, 59.56)","58.79 (57.48, 60.19)","61.83 (60.38, 63.15)","68.46 (66.81, 70.19)","74.81 (73.11, 76.57)","76.62 (74.79, 78.59)","72.34 (70.54, 74.13)","70.81 (68.84, 72.75)","22.44 (18.10, 26.86)"
"Autauga County, Alabama",1001,"54.08 (50.06, 58.40)","56.46 (52.61, 60.41)","60.00 (56.64, 63.59)","66.41 (62.87, 70.13)","72.61 (69.17, 76.36)","78.25 (74.33, 82.13)","72.46 (68.53, 76.45)","74.98 (70.81, 79.32)","38.63 (25.60, 52.24)"
"Baldwin County, Alabama",1003,"46.30 (43.40, 49.00)","44.87 (42.60, 47.33)","46.33 (44.08, 48.61)","50.03 (47.63, 52.60)","52.70 (50.37, 54.97)","51.59 (49.37, 53.96)","50.44 (48.16, 52.89)","49.57 (47.22, 52.04)","7.06 (-0.48, 16.32)"
"Barbour County, Alabama",1005,"64.02 (59.77, 68.43)","63.88 (60.01, 67.75)","64.93 (61.36, 68.17)","70.88 (67.30, 74.81)","77.21 (73.19, 81.46)","77.96 (73.57, 81.98)","73.12 (68.81, 77.37)","72.73 (68.41, 77.24)","13.60 (3.89, 24.82)"
"Bibb County, Alabama",1007,"72.25 (66.70, 77.76)","75.01 (70.33, 80.30)","75.41 (70.82, 80.30)","81.95 (77.09, 86.69)","88.83 (83.78, 94.06)","88.44 (83.56, 93.84)","82.71 (77.51, 87.67)","79.76 (74.29, 85.37)","10.39 (-1.36, 24.64)"
"Blount County, Alabama",1009,"47.44 (44.13, 50.90)","47.08 (44.14, 50.05)","48.28 (45.47, 50.90)","54.50 (51.71, 57.41)","60.21 (57.14, 63.31)","63.60 (60.34, 66.91)","58.38 (55.27, 61.32)","58.72 (55.18, 62.38)","23.78 (11.61, 35.85)"
"Bullock County, Alabama",1011,"73.59 (68.29, 79.39)","76.82 (71.61, 82.20)","83.25 (78.19, 88.47)","96.85 (91.25, 103.07)","107.68 (101.86, 113.96)","113.66 (106.80, 120.75)","110.20 (103.12, 117.96)","108.78 (100.75, 117.42)","47.82 (32.40, 66.56)"
"Butler County, Alabama",1013,"54.58 (50.67, 58.70)","58.52 (54.94, 62.50)","63.40 (59.42, 67.43)","73.77 (69.97, 77.88)","84.12 (79.60, 88.52)","93.16 (88.30, 98.11)","93.83 (88.25, 99.31)","94.72 (88.80, 100.62)","73.53 (57.09, 92.35)"
"Calhoun County, Alabama",1015,"51.63 (48.48, 54.98)","52.69 (49.85, 55.53)","55.95 (53.11, 58.67)","63.27 (60.46, 66.25)","67.90 (65.09, 70.95)","69.25 (66.26, 72.56)","63.75 (60.92, 66.60)","64.05 (60.92, 67.33)","24.05 (14.54, 33.94)"
